id,section,gender,part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,dsml,aisc,iss,pe,se,total score
219001001,E,male,FALSE,3,FALSE,27,73,93,97,80,87,430
219001002,B,female,FALSE,2,FALSE,47,90,96,100,88,90,464
219001003,F,female,FALSE,9,TRUE,13,81,95,96,77,94,443
219001004,A,female,FALSE,5,FALSE,3,71,88,80,63,86,388
219001005,F,male,FALSE,5,FALSE,10,84,65,65,74,76,364
219001006,B,female,FALSE,2,FALSE,26,93,67,78,80,84,402
219001007,F,male,FALSE,3,TRUE,23,99,97,73,76,64,409
219001008,B,male,TRUE,2,TRUE,34,95,82,63,70,85,395
219001009,C,male,FALSE,6,FALSE,25,94,94,85,74,72,419
219001010,B,female,FALSE,3,TRUE,18,98,88,71,71,73,401
219001011,E,female,FALSE,2,FALSE,7,65,97,94,81,66,403
219001012,D,male,FALSE,1,FALSE,7,80,100,65,64,61,370
219001013,F,female,TRUE,7,FALSE,4,94,69,67,65,73,368
219001014,A,female,FALSE,10,FALSE,2,66,86,100,90,63,405
219001015,A,female,FALSE,3,FALSE,39,96,86,92,95,87,456
219001016,D,male,FALSE,6,FALSE,0,94,78,64,74,84,394
219001017,C,female,FALSE,3,TRUE,30,92,93,91,89,72,437
219001018,B,male,FALSE,2,TRUE,28,86,85,79,76,77,403
219001019,C,male,FALSE,1,FALSE,37,92,92,99,87,86,456
219001020,A,female,FALSE,2,FALSE,27,99,98,75,72,100,444
219001021,F,male,TRUE,3,FALSE,15,100,72,98,97,72,439
219001022,E,male,FALSE,8,FALSE,4,57,78,94,88,88,405
219001023,C,female,FALSE,9,FALSE,2,89,68,72,54,90,373
219001024,A,male,FALSE,9,FALSE,1,50,81,55,80,79,345
219001025,B,female,FALSE,4,FALSE,35,87,90,88,88,93,446
219001026,F,female,FALSE,5,FALSE,22,92,87,81,90,99,449
219001027,E,male,FALSE,3,FALSE,34,100,80,94,90,90,454
219001028,F,male,FALSE,0,FALSE,23,64,93,79,96,85,417
219001029,C,male,FALSE,1,TRUE,17,79,99,71,77,83,409
219001030,B,female,FALSE,3,FALSE,19,82,61,97,74,73,387
219001031,B,female,FALSE,0,FALSE,14,88,87,100,85,72,432
219001032,B,female,FALSE,4,FALSE,30,70,92,74,85,72,393
219001033,E,male,FALSE,4,FALSE,30,77,98,89,62,62,388
219001034,A,female,FALSE,1,FALSE,24,99,84,78,77,68,406
219001035,C,female,FALSE,3,TRUE,31,90,91,80,69,62,392
219001036,D,female,FALSE,1,FALSE,21,65,78,98,66,65,372
219001037,D,male,FALSE,2,TRUE,19,99,87,71,91,96,444
219001038,E,male,FALSE,1,FALSE,29,92,85,89,91,88,445
219001039,B,male,FALSE,4,FALSE,21,77,64,88,82,78,389
219001040,C,male,FALSE,4,FALSE,18,92,66,87,83,95,423
219001041,D,female,FALSE,4,FALSE,31,85,64,90,81,81,401
219001042,A,male,TRUE,7,FALSE,4,65,66,50,56,86,323
219001043,C,female,TRUE,6,FALSE,3,93,92,77,98,63,423
219001044,C,female,FALSE,4,FALSE,3,97,85,96,68,66,412
219001045,E,male,TRUE,4,FALSE,3,54,79,57,95,83,368
219001046,D,male,TRUE,5,TRUE,5,88,50,58,53,96,345
219001047,D,female,FALSE,5,TRUE,27,71,93,68,91,87,410
219001048,A,male,FALSE,0,TRUE,28,81,74,70,65,65,355
219001049,E,female,FALSE,4,FALSE,32,80,86,80,68,100,414
219001050,A,female,FALSE,0,FALSE,14,100,90,93,83,74,440
219001051,F,male,FALSE,6,TRUE,16,76,96,65,87,94,418
219001052,F,female,FALSE,2,FALSE,24,99,73,70,86,61,389
219001053,D,male,FALSE,9,FALSE,0,64,61,81,51,70,327
219001054,B,female,FALSE,3,FALSE,32,90,86,61,98,68,403
219001055,D,male,FALSE,2,FALSE,3,85,92,68,77,83,405
219001056,A,female,FALSE,6,FALSE,31,91,84,88,71,99,433
219001057,D,female,FALSE,3,FALSE,21,95,79,86,81,62,403
219001058,A,male,TRUE,2,FALSE,18,94,73,97,78,99,441
219001059,C,male,FALSE,7,FALSE,26,94,64,96,95,77,426
219001060,E,male,FALSE,4,FALSE,23,89,90,79,96,98,452
219001061,B,female,FALSE,2,FALSE,1,91,88,71,83,76,409
219001062,E,female,FALSE,5,FALSE,33,83,61,99,88,73,404
219001063,F,male,FALSE,7,FALSE,2,98,53,64,96,62,373
219001064,F,female,FALSE,1,FALSE,34,83,65,88,95,69,400
219001065,A,male,FALSE,2,FALSE,18,91,99,70,80,78,418
219001066,C,female,TRUE,6,FALSE,2,90,77,74,96,88,425
219001067,B,male,FALSE,3,FALSE,27,92,66,69,71,80,378
219001068,E,male,FALSE,2,FALSE,8,64,73,76,97,91,401
219001069,E,male,FALSE,4,FALSE,14,90,85,60,71,88,394
219001070,C,male,FALSE,10,TRUE,22,99,96,69,87,83,434
219001071,F,female,FALSE,1,FALSE,15,89,93,81,88,70,421
219001072,E,female,TRUE,3,FALSE,22,62,93,83,97,73,408
219001073,A,male,TRUE,10,FALSE,1,61,69,64,78,80,352
219001074,C,male,TRUE,8,FALSE,3,51,66,87,58,68,330
219001075,F,female,FALSE,2,FALSE,20,85,64,68,81,87,385
219001076,F,female,FALSE,7,TRUE,27,99,96,92,98,77,462
219001077,C,female,FALSE,3,FALSE,24,87,60,90,99,80,416
219001078,A,female,FALSE,1,TRUE,5,75,80,93,93,65,406
219001079,D,female,FALSE,7,FALSE,34,88,80,63,77,64,372
219001080,A,male,FALSE,3,FALSE,16,87,89,68,75,92,411
219001081,D,female,TRUE,3,FALSE,3,87,94,92,58,65,396
219001082,D,female,FALSE,1,FALSE,15,76,83,85,61,67,372
219001083,A,female,FALSE,7,FALSE,11,60,61,63,92,75,351
219001084,C,male,FALSE,7,FALSE,32,85,99,100,93,72,449
219001085,B,male,FALSE,3,FALSE,28,73,70,71,73,87,374
219001086,D,male,FALSE,1,FALSE,24,85,69,80,77,66,377
219001087,E,female,FALSE,2,FALSE,9,91,71,72,67,90,391
219001088,C,female,FALSE,3,TRUE,14,99,83,89,63,70,404
219001089,A,male,FALSE,3,FALSE,16,93,68,87,89,100,437
219001090,E,male,FALSE,3,FALSE,29,89,60,80,85,73,387
219001091,D,male,FALSE,0,FALSE,14,95,95,73,65,68,396
219001092,B,male,FALSE,4,FALSE,10,68,95,63,98,93,417
219001093,E,male,FALSE,5,FALSE,31,98,73,77,98,83,429
219001094,F,male,FALSE,4,FALSE,34,79,79,76,67,86,387
219001095,D,female,FALSE,5,FALSE,3,78,73,96,93,85,425
219001096,B,female,FALSE,2,TRUE,34,100,89,85,64,94,432
219001097,A,female,FALSE,3,TRUE,2,86,84,93,69,91,423
219001098,E,male,FALSE,3,FALSE,4,87,93,98,72,88,438
219001099,D,male,TRUE,0,FALSE,28,100,85,61,83,86,415
219001100,D,female,FALSE,0,FALSE,5,85,94,69,93,98,439
219001101,D,female,FALSE,2,FALSE,4,87,98,91,60,77,413
219001102,C,female,FALSE,2,FALSE,25,96,100,61,98,65,420
219001103,B,male,FALSE,5,FALSE,29,76,64,74,90,99,403
219001104,F,male,TRUE,6,FALSE,1,90,63,94,70,79,396
219001105,C,female,FALSE,7,FALSE,2,65,100,91,78,99,433
219001106,C,female,FALSE,2,FALSE,0,98,62,89,95,77,421
219001107,A,female,FALSE,3,FALSE,16,91,97,89,95,84,456
219001108,E,male,FALSE,3,TRUE,31,86,83,81,77,86,413
219001109,A,female,FALSE,1,FALSE,4,91,72,61,87,95,406
219001110,F,male,FALSE,5,TRUE,13,78,82,60,77,82,379
219001111,D,male,FALSE,4,FALSE,24,76,89,83,90,64,402
219001112,C,female,TRUE,9,FALSE,2,82,85,57,54,76,354
219001113,A,male,TRUE,2,TRUE,4,45,94,76,93,86,394
219001114,C,female,FALSE,1,FALSE,22,92,65,97,76,81,411
219001115,A,male,FALSE,6,TRUE,0,43,91,75,94,100,403
219001116,B,male,FALSE,2,FALSE,24,96,69,65,84,77,391
219001117,B,female,FALSE,6,FALSE,1,78,50,55,97,95,375
219001118,B,female,FALSE,1,FALSE,19,68,64,70,63,75,340
219001119,D,male,FALSE,1,TRUE,19,93,94,65,63,93,408
219001120,C,female,FALSE,6,FALSE,5,55,67,74,60,64,320
219001121,A,female,TRUE,0,FALSE,13,66,83,80,90,91,410
219001122,A,male,FALSE,4,FALSE,26,98,91,99,88,75,451
219001123,A,male,FALSE,4,FALSE,41,94,94,89,86,85,448
219001124,F,female,FALSE,3,FALSE,47,96,96,91,96,89,468
219001125,B,female,FALSE,2,FALSE,9,69,82,89,72,71,383
219001126,B,female,FALSE,4,FALSE,7,77,98,69,89,71,404
219001127,E,male,FALSE,1,FALSE,3,89,86,87,68,78,408
219001128,E,male,FALSE,4,TRUE,14,96,80,83,77,75,411
219001129,D,female,FALSE,4,FALSE,26,82,80,70,69,86,387
219001130,B,male,FALSE,6,TRUE,27,99,64,90,68,69,390
219001131,F,female,TRUE,5,FALSE,25,96,90,85,84,87,442
219001132,B,female,TRUE,4,FALSE,16,95,66,63,92,69,385
219001133,A,female,FALSE,4,FALSE,27,90,69,80,69,79,387
219001134,A,male,TRUE,6,FALSE,0,88,53,56,93,78,368
219001135,A,male,FALSE,1,FALSE,3,87,87,96,90,74,434
219001136,A,female,FALSE,2,FALSE,6,62,84,75,85,86,392
219001137,F,male,FALSE,2,FALSE,12,85,60,78,96,76,395
219001138,F,female,FALSE,1,TRUE,11,79,76,67,90,95,407
219001139,B,female,FALSE,4,FALSE,23,90,98,96,82,81,447
219001140,B,male,FALSE,2,FALSE,23,97,82,80,93,78,430
219001141,C,male,FALSE,0,FALSE,16,88,87,81,67,93,416
219001142,A,male,TRUE,2,TRUE,3,71,77,89,63,100,400
219001143,B,female,FALSE,1,FALSE,29,70,79,96,97,100,442
219001144,D,male,FALSE,3,TRUE,18,93,76,99,80,75,423
219001145,D,female,FALSE,0,FALSE,3,92,81,61,72,88,394
219001146,C,male,FALSE,3,FALSE,6,83,68,94,98,92,435
219001147,C,male,FALSE,8,FALSE,2,68,51,93,58,78,348
219001148,A,male,FALSE,0,FALSE,34,92,65,79,87,74,397
219001149,F,female,FALSE,4,TRUE,22,69,82,99,75,74,399
219001150,F,female,TRUE,5,FALSE,4,76,72,65,71,93,377
219001151,D,female,FALSE,3,FALSE,3,86,79,73,61,60,359
219001152,F,male,TRUE,10,FALSE,2,41,97,56,98,83,375
219001153,C,female,FALSE,5,FALSE,18,91,84,72,90,82,419
219001154,C,male,FALSE,0,FALSE,8,78,82,70,68,81,379
219001155,B,female,FALSE,1,FALSE,33,89,85,84,81,98,437
219001156,F,male,FALSE,0,TRUE,13,96,88,74,92,65,415
219001157,F,female,FALSE,0,TRUE,17,66,85,90,64,95,400
219001158,F,male,TRUE,8,FALSE,1,97,62,66,69,96,390
219001159,C,male,TRUE,7,TRUE,3,49,97,61,72,65,344
219001160,B,male,TRUE,4,TRUE,33,88,96,82,76,79,421
219001161,C,male,FALSE,1,FALSE,12,92,77,61,72,87,389
219001162,B,male,TRUE,3,FALSE,24,96,92,88,76,72,424
219001163,A,male,FALSE,4,FALSE,33,86,99,79,97,91,452
219001164,A,male,FALSE,1,TRUE,44,86,100,96,97,93,472
219001165,D,female,FALSE,1,FALSE,15,88,96,60,80,88,412
219001166,F,female,FALSE,2,FALSE,5,92,99,98,80,73,442
219001167,D,female,TRUE,7,FALSE,5,87,71,65,81,61,365
219001168,F,female,FALSE,5,FALSE,22,89,67,68,92,76,392
219001169,D,male,FALSE,1,FALSE,9,97,66,96,97,66,422
219001170,C,male,FALSE,4,TRUE,34,100,67,97,84,99,447
219001171,C,female,FALSE,1,FALSE,34,91,76,99,98,71,435
219001172,B,female,FALSE,4,FALSE,25,81,65,85,64,81,376
219001173,E,female,FALSE,5,TRUE,31,82,89,76,83,79,409
219001174,F,male,FALSE,1,FALSE,33,100,75,68,97,81,421
219001175,A,female,FALSE,10,TRUE,3,65,80,83,81,81,390
219001176,A,male,FALSE,2,FALSE,20,68,89,75,78,90,400
219001177,C,male,FALSE,3,FALSE,15,97,95,75,90,83,440
219001178,F,female,FALSE,3,FALSE,26,76,77,88,91,61,393
219001179,C,female,FALSE,5,FALSE,35,91,94,94,98,89,466
219001180,E,male,FALSE,4,FALSE,12,85,89,73,66,79,392
219001181,B,male,FALSE,2,TRUE,5,68,86,87,80,93,414
219001182,A,male,FALSE,1,FALSE,31,73,75,70,86,62,366
219001183,A,female,FALSE,3,TRUE,28,65,75,96,93,85,414
219001184,C,male,FALSE,8,TRUE,5,46,75,86,88,77,372
219001185,E,female,FALSE,1,FALSE,33,92,85,77,69,95,418
219001186,D,female,FALSE,3,FALSE,2,69,69,70,88,85,381
219001187,D,female,FALSE,5,TRUE,9,78,64,99,84,80,405
219001188,C,female,TRUE,2,TRUE,0,92,86,97,76,76,427
219001189,E,male,FALSE,5,FALSE,26,70,91,96,89,67,413
219001190,A,female,FALSE,5,FALSE,30,95,98,95,99,87,474
219001191,C,female,FALSE,7,FALSE,1,99,93,83,90,60,425
219001192,C,male,FALSE,1,TRUE,26,96,79,80,61,85,401
219001193,D,female,FALSE,2,FALSE,2,85,85,74,71,80,395
219001194,A,male,FALSE,5,FALSE,9,91,82,100,66,69,408
219001195,E,female,FALSE,2,FALSE,30,85,93,80,70,94,422
219001196,F,female,FALSE,3,FALSE,24,94,61,68,85,67,375
219001197,F,male,FALSE,4,FALSE,21,95,62,87,83,64,391
219001198,A,female,FALSE,2,FALSE,14,69,83,70,91,67,380
219001199,E,female,FALSE,1,FALSE,24,95,94,96,61,94,440
219001200,F,female,FALSE,3,FALSE,34,94,65,88,81,78,406
219001201,C,male,FALSE,1,TRUE,34,82,100,81,79,96,438
219001202,D,male,FALSE,6,TRUE,27,99,91,91,80,100,461
219001203,D,female,FALSE,3,FALSE,16,85,84,80,80,71,400
219001204,D,female,FALSE,1,TRUE,21,100,60,92,67,96,415
219001205,A,female,FALSE,1,FALSE,1,98,90,81,86,98,453
219001206,E,male,FALSE,3,FALSE,17,97,81,67,95,79,419
219001207,A,male,FALSE,5,FALSE,0,99,68,94,77,92,430
219001208,D,male,FALSE,3,TRUE,12,99,77,74,68,99,417
219001209,F,female,FALSE,2,FALSE,22,75,70,71,95,76,387
219001210,B,female,FALSE,1,TRUE,14,63,99,78,84,86,410
219001211,B,male,FALSE,0,FALSE,41,96,90,100,87,96,469
219001212,B,male,FALSE,4,FALSE,32,91,86,73,60,71,381
219001213,C,male,TRUE,1,FALSE,4,52,60,97,89,68,366
219001214,B,female,FALSE,1,FALSE,22,99,80,82,64,64,389
219001215,E,female,FALSE,3,FALSE,17,84,92,74,98,91,439
219001216,C,male,FALSE,2,FALSE,2,100,82,79,83,78,422
219001217,F,female,FALSE,4,FALSE,33,82,93,90,76,97,438
219001218,A,female,FALSE,5,FALSE,29,75,65,80,94,97,411
219001219,E,female,TRUE,1,FALSE,27,66,94,72,70,63,365
219001220,E,male,FALSE,6,TRUE,34,99,72,76,92,72,411
219001221,A,male,FALSE,3,FALSE,2,99,94,88,66,84,431
219001222,D,female,FALSE,3,FALSE,22,95,79,95,90,74,433
219001223,B,male,FALSE,7,FALSE,33,99,75,68,90,99,431
219001224,A,male,FALSE,5,FALSE,17,65,96,69,93,72,395
219001225,F,male,FALSE,7,FALSE,4,85,74,71,50,99,379
219001226,B,female,FALSE,7,TRUE,3,69,57,72,96,87,381
219001227,B,female,FALSE,7,FALSE,3,75,88,65,83,85,396
219001228,F,female,FALSE,7,TRUE,17,91,72,69,91,96,419
219001229,F,male,FALSE,3,FALSE,6,92,61,98,85,80,416
219001230,E,male,FALSE,7,FALSE,9,62,65,86,94,68,375
219001231,D,male,TRUE,2,FALSE,35,87,98,94,87,89,455
219001232,C,female,FALSE,3,FALSE,17,97,87,61,92,94,431
219001233,C,female,FALSE,1,FALSE,7,97,79,88,99,85,448
219001234,E,male,FALSE,5,FALSE,16,98,92,84,90,71,435
219001235,F,female,FALSE,1,FALSE,20,96,88,95,75,84,438
219001236,B,male,TRUE,7,FALSE,0,98,81,56,74,94,403
219001237,C,male,FALSE,2,FALSE,27,87,95,81,84,73,420
219001238,D,male,FALSE,0,FALSE,24,96,86,94,72,75,423
219001239,F,male,FALSE,2,FALSE,30,82,77,95,76,91,421
219001240,D,male,FALSE,6,FALSE,20,100,99,64,93,67,423
219001241,C,male,FALSE,0,FALSE,27,91,91,76,92,87,437
219001242,C,male,FALSE,6,FALSE,2,87,85,64,61,85,382
219001243,B,female,FALSE,6,FALSE,16,75,84,87,82,86,414
219001244,B,male,TRUE,1,FALSE,27,86,61,71,92,65,375
219001245,D,male,FALSE,4,TRUE,24,94,97,96,68,69,424
219001246,F,male,FALSE,4,FALSE,23,99,92,78,78,88,435
219001247,E,male,FALSE,1,FALSE,15,84,94,66,71,93,408
219001248,C,male,FALSE,3,FALSE,25,92,68,96,92,79,427
219001249,B,female,FALSE,2,FALSE,32,95,95,72,80,83,425
219001250,C,male,FALSE,3,FALSE,35,90,94,99,87,97,467
219001251,D,female,FALSE,3,FALSE,3,93,87,66,96,87,429
219001252,D,female,FALSE,1,FALSE,28,69,88,73,74,94,398
219001253,A,male,FALSE,1,FALSE,3,97,80,65,67,84,393
219001254,E,female,FALSE,0,FALSE,21,76,80,92,90,78,416
219001255,F,male,FALSE,3,FALSE,35,85,92,86,86,93,442
219001256,A,female,FALSE,7,TRUE,35,91,89,97,87,100,464
219001257,E,female,FALSE,7,TRUE,14,82,92,62,75,93,404
219001258,A,female,TRUE,7,FALSE,1,59,87,97,74,61,378
219001259,F,female,FALSE,9,TRUE,0,78,73,51,84,65,351
219001260,F,male,FALSE,2,FALSE,12,89,82,65,95,62,393
219001261,F,female,FALSE,3,FALSE,35,86,92,96,96,90,460
219001262,E,male,FALSE,4,FALSE,2,76,65,95,88,88,412
219001263,E,male,TRUE,2,FALSE,16,79,63,72,67,67,348
